City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Padang,-0.9492,100.3543,23.03,93,98,1.51,ID,1658761540
East London,-33.0153,27.9116,15.62,57,22,3.99,ZA,1658761528
Owosso,42.9978,-84.1766,19.87,63,0,3.6,US,1658761542
Hithadhoo,-0.6,73.0833,28.17,72,76,4.44,MV,1658761544
Montepuez,-13.1256,38.9997,24.03,42,100,1.95,MZ,1658761545
Alofi,-19.0595,-169.9187,23.21,65,89,8.98,NU,1658761425
George Town,5.4112,100.3354,27.69,89,20,0.0,MY,1658761502
Akonolinga,3.7667,12.25,22.98,95,100,1.61,CM,1658761548
Bredasdorp,-34.5322,20.0403,15.09,67,0,4.56,ZA,1658761550
San Policarpo,12.1791,125.5072,26.09,86,100,1.77,PH,1658761551
Semnan,35.5729,53.3971,28.64,43,18,8.12,IR,1658761552
Mossendjo,-2.9506,12.7261,30.85,42,68,2.14,CG,1658761554
São João da Barra,-21.6403,-41.0511,26.05,76,17,4.84,BR,1658761484
Batouri,4.4333,14.3667,24.71,87,98,1.54,CM,1658761556
Halkirk,52.2834,-112.1518,13.14,94,100,3.13,CA,1658761557
Tautira,-17.7333,-149.15,24.79,84,97,5.63,PF,1658761559
Ilulissat,69.2167,-51.1,6.01,93,75,2.06,GL,1658761319
Barra Patuca,15.8,-84.2833,28.5,69,39,2.45,HN,1658761561
Guerrero Negro,27.9769,-114.0611,21.09,78,18,1.72,MX,1658761325
Broome,42.2506,-75.833,23.9,81,100,4.63,US,1658761564
Praia da Vitória,38.7333,-27.0667,26.53,87,35,1.85,PT,1658761565
Shimoda,34.6667,138.95,25.61,93,100,3.18,JP,1658761566
Jimma,7.6667,36.8333,19.41,92,82,0.8,ET,1658761276
Puerto Ayora,-0.7393,-90.3518,21.97,90,79,3.13,EC,1658761569
Chengde,40.9725,117.9361,22.22,85,57,1.65,CN,1658761524
Salalah,17.0151,54.0924,24.86,96,100,3.48,OM,1658761333
Saint Paul Harbor,57.79,-152.4072,14.73,82,20,4.63,US,1658761572
Tazmalt,36.3868,4.3989,40.66,11,1,3.44,DZ,1658761574
Tegul'det,57.3064,88.1667,11.43,96,20,1.78,RU,1658761575
Qasigiannguit,68.8193,-51.1922,6.14,87,98,1.95,GL,1658761576
Havøysund,70.9963,24.6622,12.13,81,100,5.18,NO,1658761578
Palembang,-2.9167,104.7458,26.05,94,40,1.03,ID,1658761579
Shalakusha,62.2247,40.2539,21.53,49,76,1.99,RU,1658761580
Kruisfontein,-34.0033,24.7314,14.94,57,0,6.26,ZA,1658761582
Hingatungan,10.584,125.1852,26.79,84,99,1.67,PH,1658761583
Goderich,43.7501,-81.7165,17.73,64,0,8.03,CA,1658761451
Novozaimka,56.4857,66.9241,22.69,80,8,2.72,RU,1658761586
Lompoc,34.6391,-120.4579,13.24,87,100,1.54,US,1658761371
Naze,28.3667,129.4833,26.76,80,21,2.37,JP,1658761569
Piranshahr,36.701,45.1413,26.97,34,7,2.27,IR,1658761589
Tiksi,71.6872,128.8694,8.96,90,98,1.2,RU,1658761591
Acurenam,1.0322,10.6488,22.82,78,100,1.69,GQ,1658761592
Belém de São Francisco,-8.7539,-38.9658,29.05,35,23,8.17,BR,1658761593
San Jerónimo,-11.9472,-75.2829,11.73,63,95,0.7,PE,1658761595
Bathsheba,13.2167,-59.5167,29.47,86,40,5.66,BB,1658761509
Gorno-Altaysk,51.9561,85.955,14.25,78,60,1.0,RU,1658761597
Oktyabr'skiy,54.4815,53.471,23.4,75,49,1.47,RU,1658761598
Leningradskiy,69.3833,178.4167,0.15,98,100,2.03,RU,1658761480
Cidreira,-30.1811,-50.2056,19.89,81,13,1.8,BR,1658761601
Koutsouras,35.0339,25.9469,33.39,30,0,5.66,GR,1658761602
Vetluga,57.8557,45.781,24.37,66,63,1.07,RU,1658761603
Warrington,53.3925,-2.5802,16.96,77,75,9.77,GB,1658761342
Mahon,39.8885,4.2658,32.31,55,0,4.12,ES,1658761606
Marawi,7.9986,124.2928,21.39,91,100,1.48,PH,1658761485
Hasaki,35.7333,140.8333,26.22,93,98,6.63,JP,1658761608
Faanui,-16.4833,-151.75,24.64,81,68,3.79,PF,1658761610
Flin Flon,54.7682,-101.865,18.32,65,98,3.57,CA,1658761425
Atasū,48.6814,71.6433,25.99,25,19,3.29,KZ,1658761612
Novoagansk,61.9449,76.6625,14.99,72,100,2.65,RU,1658761613
Ekhabi,53.5102,142.9671,14.4,95,100,3.95,RU,1658761615
Codrington,-38.2667,141.9667,8.14,89,98,6.66,AU,1658761462
Lavrentiya,65.5833,-171.0,4.79,92,100,5.64,RU,1658761617
Sinnamary,5.3833,-52.95,29.69,67,71,3.59,GF,1658761618
Makkaveyevo,51.7533,113.9454,15.42,96,50,1.55,RU,1658761620
Mahébourg,-20.4081,57.7,20.14,74,48,5.48,MU,1658761621
Nhulunbuy,-12.2333,136.7667,22.34,88,40,2.57,AU,1658761623
Castanheira de Pêra,40.0072,-8.2105,26.56,26,0,5.74,PT,1658761624
Altay,47.8667,88.1167,16.99,35,0,3.84,CN,1658761625
Kyshtovka,56.555,76.6271,16.81,81,98,2.39,RU,1658761627
Longyearbyen,78.2186,15.6401,9.91,76,40,7.2,SJ,1658761628
Ponta Delgada,37.7333,-25.6667,24.4,83,40,4.12,PT,1658761629
Leshukonskoye,64.8989,45.7622,15.66,57,82,2.64,RU,1658761631
Sitka,57.0531,-135.33,12.94,94,100,1.54,US,1658761632
Kawalu,-7.3817,108.2082,18.71,92,83,0.64,ID,1658761200
Manta,-0.95,-80.7333,24.35,67,39,3.53,EC,1658761201
Atar,20.5169,-13.0499,40.75,20,0,9.44,MR,1658761203
Pinjaur,30.7972,76.9172,26.91,69,100,2.31,IN,1658761205
Bose,45.4612,8.0137,34.43,46,37,1.51,IT,1658761207
Bethel,41.3712,-73.414,28.57,80,100,0.89,US,1658761025
Olafsvik,64.8945,-23.7142,11.42,67,100,2.13,IS,1658761036
Coquimbo,-29.9533,-71.3436,11.85,82,100,1.03,CL,1658760996
Kaitangata,-46.2817,169.8464,7.78,90,100,7.47,NZ,1658761212
Beloha,-25.1667,45.05,19.68,76,26,3.26,MG,1658761214
Airai,-8.9266,125.4092,12.31,81,12,1.42,TL,1658761216
Kochkurovo,54.0358,45.4184,22.93,76,77,3.3,RU,1658761218
Benito Juarez,19.385,-99.165,17.78,70,93,2.68,MX,1658760925
Dargaville,-35.9333,173.8833,15.69,85,56,4.5,NZ,1658761220
Sabha,27.0377,14.4283,36.06,13,0,7.51,LY,1658761124
Coyhaique,-45.5752,-72.0662,-0.55,90,88,0.58,CL,1658761223
Constitución,-35.3333,-72.4167,12.57,81,100,9.63,CL,1658761225
Abdulino,53.7,53.6667,22.27,73,90,2.37,RU,1658761226
Kuching,1.55,110.3333,24.12,100,40,1.03,MY,1658761228
Antiguo Morelos,22.5495,-99.0812,26.73,68,99,0.5,MX,1658761229
Atambua,-9.1061,124.8925,19.28,82,23,2.63,ID,1658761230
Sur,22.5667,59.5289,31.56,64,100,3.84,OM,1658761043
Pisco,-13.7,-76.2167,17.74,75,93,1.47,PE,1658761233
Costa Rica,-23.4167,-54.65,29.16,30,95,4.46,BR,1658761234
Coahuayana Viejo,18.7333,-103.6833,28.22,74,100,0.56,MX,1658761235
Hurricane,37.1753,-113.2899,28.2,57,99,0.86,US,1658761237
Maniitsoq,65.4167,-52.9,5.46,91,59,3.89,GL,1658761238
Kindu,-2.95,25.95,34.23,30,37,0.86,CD,1658761240
Conakry,9.538,-13.6773,24.27,91,100,4.67,GN,1658761209
Seymchan,62.8833,152.4333,12.42,63,52,1.1,RU,1658761242
Ipixuna,-1.7625,-48.8043,34.0,44,25,1.36,BR,1658761244
Bahía Blanca,-38.7196,-62.2724,9.29,87,100,8.23,AR,1658761245
Catherinas Lust,6.4,-57.6,27.78,74,93,2.43,GY,1658761247
Karaikudi,10.0667,78.7833,30.19,61,54,5.14,IN,1658761248
Haines Junction,60.7522,-137.5108,9.98,94,100,1.77,CA,1658761250
Watrous,51.6668,-105.4679,16.88,94,100,2.06,CA,1658761105
Requena,39.4883,-1.1004,29.88,10,22,7.76,ES,1658761252
Tiznit Province,29.5833,-9.5,39.79,12,25,7.86,MA,1658761253
Holešov,49.3333,17.5783,35.02,30,6,3.43,CZ,1658761255
La Providencia,28.7167,-111.5833,30.35,67,26,3.69,MX,1658761256
Gornopravdinsk,60.05,69.9,19.79,68,72,1.6,RU,1658761258
Sørland,67.667,12.6934,12.92,90,80,3.19,NO,1658761259
Zanjān,36.6736,48.4787,18.94,68,13,5.4,IR,1658761261
Omboué,-1.5746,9.2618,23.69,75,97,4.67,GA,1658761262
Vila Franca do Campo,37.7167,-25.4333,24.23,79,65,2.22,PT,1658761263
Najrān,17.4924,44.1277,29.34,42,100,6.95,SA,1658761222
Philadelphia,39.9523,-75.1638,30.72,68,100,4.02,US,1658761002
Klyuchi,52.2667,79.1667,19.97,42,0,2.18,RU,1658761267
Chiredzi,-21.05,31.6667,18.82,63,92,3.14,ZW,1658761268
Sibolga,1.7427,98.7792,24.09,90,100,1.33,ID,1658761270
Kismayo,-0.3582,42.5454,24.81,76,95,8.23,SO,1658761271
Sioux Lookout,50.1001,-91.917,18.26,53,2,4.16,CA,1658761273
Aquidauana,-20.4711,-55.7872,34.54,19,2,2.63,BR,1658761221
Arkhipo-Osipovka,44.37,38.52,23.28,69,57,2.2,RU,1658761275
Chkalovsk,56.7647,43.2433,21.77,77,25,2.69,RU,1658761276
Mae Sai,20.4335,99.8762,24.14,91,4,1.04,TH,1658761017
Saint Anthony,45.0205,-93.218,20.21,52,40,2.06,US,1658761244
Odesskoye,54.2111,72.9651,22.26,56,6,1.8,RU,1658761280
Chokurdakh,70.6333,147.9167,11.13,57,95,5.22,RU,1658761232
Bubaque,11.2833,-15.8333,25.24,84,100,2.72,GW,1658761034
Nampula,-15.1165,39.2666,23.38,39,8,2.93,MZ,1658761284
Port Hardy,50.6996,-127.4199,15.1,94,75,2.57,CA,1658761285
Henties Bay,-22.116,14.2845,15.79,79,12,2.44,NA,1658761286
Beyneu,45.3167,55.2,30.95,27,99,5.24,KZ,1658761288
Talnakh,69.4865,88.3972,15.48,77,57,3.6,RU,1658761289
Ormara,25.2088,64.6357,27.86,86,100,5.96,PK,1658761290
Kudahuvadhoo,2.6708,72.8944,27.61,75,7,4.57,MV,1658761292
Pochutla,15.7432,-96.4661,28.79,59,60,1.16,MX,1658761293
Filingué,14.3521,3.3168,37.98,31,48,4.64,NE,1658761294
Tirumullaivāsal,11.2333,79.8333,28.8,73,80,1.42,IN,1658761296
Bandarbeyla,9.4942,50.8122,25.27,79,13,13.87,SO,1658761110
Agadez,19.75,10.25,40.33,10,2,5.04,NE,1658761298
Bilma,18.6853,12.9164,41.41,8,0,9.06,NE,1658761300
Shingū,33.7333,135.9833,24.82,85,100,1.78,JP,1658761299
Resistencia,-27.4606,-58.9839,26.16,60,22,4.27,AR,1658761233
Zalesovo,53.9939,84.7431,14.67,76,84,2.33,RU,1658761303
Klaksvík,62.2266,-6.589,11.51,84,66,7.8,FO,1658761304
Geraldton,-28.7667,114.6,7.23,87,60,3.6,AU,1658761306
Hambantota,6.1241,81.1185,24.19,100,40,1.54,LK,1658761307
Mundo Nuevo (Ojo de Agua),18.7,-95.5,26.55,78,42,1.29,MX,1658761308
Puerto Escondido,15.85,-97.0667,28.85,62,84,1.31,MX,1658761274
Ellenabad,29.45,74.65,33.2,51,100,4.25,IN,1658761311
Pangnirtung,66.1451,-65.7125,9.92,72,76,2.02,CA,1658761312
Thinadhoo,0.5333,72.9333,28.12,72,100,5.31,MV,1658761313
Arraial do Cabo,-22.9661,-42.0278,25.92,61,20,6.69,BR,1658761035
Walvis Bay,-22.9575,14.5053,12.83,74,14,2.95,NA,1658761316
Wangaratta,-36.3667,146.3333,11.21,94,100,3.09,AU,1658761317
Alim,9.5649,122.4876,27.12,79,100,0.37,PH,1658761318
Ahipara,-35.1667,173.1667,14.42,89,46,7.37,NZ,1658761320
Dubai,25.2582,55.3047,35.91,61,33,2.94,AE,1658761317
Houma,29.5958,-90.7195,30.85,82,17,1.07,US,1658761186
Herat Province,34.5,62.0,35.25,11,0,6.69,AF,1658761230
Graaff-Reinet,-32.2522,24.5308,12.73,60,0,3.95,ZA,1658761325
Niagara Falls,43.1001,-79.0663,22.7,66,0,7.2,CA,1658761729
Tiarei,-17.5333,-149.3333,22.01,87,94,5.99,PF,1658761327
Raudeberg,61.9875,5.1352,12.37,96,100,8.88,NO,1658761328
Vardø,70.3705,31.1107,12.99,76,40,5.14,NO,1658761330
Fonte Boa,-2.4959,-66.2662,30.1,63,76,0.7,BR,1658761331
Vestmanna,62.1564,-7.1664,10.51,66,40,6.69,FO,1658761332
Hengshui,37.7322,115.7011,25.04,84,100,2.87,CN,1658761233
Grafton,42.207,-71.6856,28.35,73,100,1.34,US,1658761335
Nishihara,26.1842,127.7558,28.6,84,6,2.06,JP,1658761336
San Patricio,28.017,-97.5169,30.56,55,0,3.51,US,1658761047
Gravdal,68.1214,13.5031,13.85,84,98,2.49,NO,1658761339
Carutapera,-1.195,-46.02,29.16,69,93,3.1,BR,1658761340
Port Lincoln,-34.7333,135.8667,11.72,64,59,6.2,AU,1658761342
Balkanabat,39.5108,54.3671,30.42,48,82,4.02,TM,1658761343
Abu Dhabi,24.4667,54.3667,35.19,66,0,4.12,AE,1658761625
Eenhana,-17.4667,16.3333,29.37,15,4,1.88,NA,1658761753
Cockburn Town,21.4612,-71.1419,27.68,79,28,9.72,TC,1658761754
Yar-Sale,66.8333,70.8333,13.41,60,57,7.08,RU,1658761756
Zhanakorgan,43.9098,67.2495,35.51,13,6,5.74,KZ,1658761757
Yulara,-25.2406,130.9889,10.0,51,0,5.37,AU,1658761758
Malinovskiy,61.1953,62.8397,20.32,61,77,1.21,RU,1658761760
Trairi,-3.2778,-39.2689,31.04,41,89,5.59,BR,1658761697
Marzuq,14.4,46.4667,31.57,39,100,2.48,YE,1658761762
Siniscola,40.5719,9.6922,34.75,44,0,2.53,IT,1658761764
Florence,43.7667,11.25,34.69,56,20,4.12,IT,1658761523
Cherskiy,68.75,161.3,5.16,74,3,4.2,RU,1658761766
Mbutuý,-24.9667,-56.3,30.25,32,0,4.56,PY,1658761767
Cayenne,4.9333,-52.3333,31.16,30,40,4.12,GF,1658761769
Maralal,1.0968,36.698,19.64,57,58,3.63,KE,1658761770
Kharan,28.5833,65.4167,29.57,60,100,1.41,PK,1658761704
Butembo,0.15,29.2833,18.14,84,99,0.15,CD,1658761772
Verkhnevilyuysk,63.4453,120.3167,20.17,83,57,2.24,RU,1658761774
Marang,5.2056,103.2059,26.91,78,24,1.1,MY,1658761692
Dakar,14.6937,-17.4441,29.49,77,24,2.18,SN,1658761510
Rawson,-43.3002,-65.1023,7.55,77,100,7.35,AR,1658761777
Ullapool,57.8987,-5.1604,11.86,80,90,5.69,GB,1658761779
Solnechnyy,50.7214,136.6319,18.72,99,100,2.27,RU,1658761780
Derzhavīnsk,51.1,66.3167,28.25,28,36,2.78,KZ,1658761781
Charters Towers,-20.1,146.2667,14.65,87,0,3.16,AU,1658761783
Sal Rei,16.1833,-22.9167,31.11,66,20,5.66,CV,1658761784
Gimli,50.6336,-96.9907,17.83,71,95,4.95,CA,1658761737
Plettenberg Bay,-34.0527,23.3716,16.63,63,0,4.4,ZA,1658761786
Noril'sk,69.3535,88.2027,15.79,79,55,3.93,RU,1658761788
Bereda,43.2686,-7.5406,26.52,38,0,2.53,ES,1658761789
New London,41.4834,-72.0662,27.58,76,100,5.66,US,1658761516
Banda Aceh,5.5577,95.3222,24.89,88,100,4.58,ID,1658761791
Otavalo,0.2333,-78.2667,17.12,79,99,1.53,EC,1658761793
Grand Gaube,-20.0064,57.6608,20.21,76,39,1.34,MU,1658761794
Kutum,14.2,24.6667,33.61,20,76,2.7,SD,1658761795
Kurkino,53.4257,38.6582,22.51,71,56,3.47,RU,1658761797
Karratha,-20.7377,116.8463,20.21,58,0,2.24,AU,1658761798
Prince Rupert,54.3161,-130.3201,14.05,94,100,2.06,CA,1658761402
Abhā,18.2164,42.5053,20.14,68,75,5.14,SA,1658761801
Jumla,29.2747,82.1838,17.66,96,91,1.06,NP,1658761802
Xingcheng,40.6167,120.7167,23.98,88,17,4.42,CN,1658761803
Ust-Tsilma,65.441,52.1498,14.72,50,90,4.28,RU,1658761805
Port Macquarie,-31.4333,152.9167,8.94,93,14,0.0,AU,1658761680
Takoradze,4.8845,-1.7554,25.91,72,77,4.45,GH,1658761807
Beloye,48.4952,39.0505,20.14,78,100,6.17,UA,1658761809
Saldanha,-33.0117,17.9442,17.99,53,0,3.54,ZA,1658761568
Omsukchan,62.5333,155.8,13.31,58,100,1.54,RU,1658761559
Siavonga,-16.5382,28.7088,26.52,36,1,0.96,ZM,1658761812
Znamenskoye,57.1281,73.8282,18.29,90,31,2.4,RU,1658761814
Susa,32.1942,48.2436,43.17,5,0,7.51,IR,1658761815
Riviere-au-Renard,48.9957,-64.3971,21.29,77,88,2.85,CA,1658761812
Laguna,38.421,-121.4238,16.23,76,0,4.12,US,1658761818
